Source;Target;Type;id;label;timeset;weight
27;34;Directed;1356;;;163.0
27;35;Directed;1357;;;117.0
27;36;Directed;1358;;;105.0
27;37;Directed;1359;;;159.0
27;38;Directed;1360;;;51.0
27;39;Directed;1361;;;120.0
27;40;Directed;1362;;;113.0
27;41;Directed;1363;;;39.0
27;42;Directed;1364;;;91.0
27;43;Directed;1365;;;11.0
27;44;Directed;1366;;;44.0
27;45;Directed;1367;;;9.0
27;46;Directed;1368;;;75.0
27;47;Directed;1369;;;155.0
27;48;Directed;1370;;;307.0
27;49;Directed;1371;;;142.0
27;50;Directed;1372;;;138.0
27;51;Directed;1373;;;5.0
27;52;Directed;1374;;;9.0
28;1;Directed;1375;;;11.0
28;2;Directed;1376;;;120.0
28;3;Directed;1377;;;101.0
28;4;Directed;1378;;;48.0
28;5;Directed;1379;;;42.0
28;6;Directed;1380;;;6.0
28;7;Directed;1381;;;17.0
28;8;Directed;1382;;;157.0
28;9;Directed;1383;;;2559.0
28;10;Directed;1384;;;44.0
28;11;Directed;1385;;;32.0
28;12;Directed;1386;;;9.0
28;13;Directed;1387;;;35.0
28;14;Directed;1388;;;10.0
28;15;Directed;1389;;;118.0
28;16;Directed;1390;;;9.0
28;17;Directed;1391;;;19.0
28;18;Directed;1392;;;24.0
28;19;Directed;1393;;;18.0
28;20;Directed;1394;;;50.0
28;21;Directed;1395;;;301.0
28;22;Directed;1396;;;59.0
28;23;Directed;1397;;;17.0
28;24;Directed;1398;;;83.0
28;25;Directed;1399;;;338.0
28;26;Directed;1400;;;43.0
28;27;Directed;1401;;;28.0
28;29;Directed;1402;;;17.0
28;30;Directed;1403;;;272.0
28;31;Directed;1404;;;88.0
28;32;Directed;1405;;;131.0
28;33;Directed;1406;;;89.0
28;34;Directed;1407;;;10.0
28;35;Directed;1408;;;2.0
28;36;Directed;1409;;;42.0
28;37;Directed;1410;;;45.0
28;38;Directed;1411;;;23.0
28;39;Directed;1412;;;13.0
28;40;Directed;1413;;;33.0
28;41;Directed;1414;;;7.0
28;42;Directed;1415;;;40.0
28;43;Directed;1416;;;7.0
28;44;Directed;1417;;;713.0
28;45;Directed;1418;;;30.0
28;46;Directed;1419;;;21.0
28;47;Directed;1420;;;228.0
28;48;Directed;1421;;;20.0
28;49;Directed;1422;;;6.0
28;50;Directed;1423;;;242.0
28;51;Directed;1424;;;12.0
28;52;Directed;1425;;;35.0
29;1;Directed;1426;;;4.0
29;2;Directed;1427;;;54.0
29;3;Directed;1428;;;13.0
29;4;Directed;1429;;;16.0
29;5;Directed;1430;;;244.0
29;6;Directed;1431;;;6.0
29;7;Directed;1432;;;15.0
29;8;Directed;1433;;;43.0
29;9;Directed;1434;;;236.0
29;10;Directed;1435;;;51.0
29;11;Directed;1436;;;14.0
29;12;Directed;1437;;;6.0
29;13;Directed;1438;;;32.0
29;14;Directed;1439;;;34.0
29;15;Directed;1440;;;15.0
29;16;Directed;1441;;;1.0
29;17;Directed;1442;;;10.0
29;18;Directed;1443;;;1098.0
29;19;Directed;1444;;;5.0
29;20;Directed;1445;;;25.0
29;21;Directed;1446;;;16.0
29;22;Directed;1447;;;13.0
29;23;Directed;1448;;;15.0
29;24;Directed;1449;;;7.0
29;25;Directed;1450;;;5.0
29;26;Directed;1451;;;6.0
29;27;Directed;1452;;;91.0
29;28;Directed;1453;;;7.0
29;30;Directed;1454;;;392.0
29;31;Directed;1455;;;27.0
29;32;Directed;1456;;;27.0
29;33;Directed;1457;;;17.0
29;34;Directed;1458;;;252.0
29;35;Directed;1459;;;11.0
29;36;Directed;1460;;;61.0
29;37;Directed;1461;;;426.0
29;38;Directed;1462;;;20.0
29;39;Directed;1463;;;1.0
29;40;Directed;1464;;;25.0
29;41;Directed;1465;;;6.0
29;42;Directed;1466;;;25.0
29;43;Directed;1467;;;2.0
29;44;Directed;1468;;;42.0
29;45;Directed;1469;;;2.0
29;46;Directed;1470;;;12.0
29;47;Directed;1471;;;39.0
29;48;Directed;1472;;;31.0
29;49;Directed;1473;;;6.0
29;50;Directed;1474;;;26.0
29;51;Directed;1475;;;1.0
