;Albacete;Alicante/Alacant;Almería;Araba/Álava;Asturias;Ávila;Badajoz;Balears, Illes;Barcelona;Bizkaia;Burgos;Cáceres;Cádiz;Cantabria;Castellón/Castelló;Ciudad Real;Córdoba;Coruña, A;Cuenca;Gipuzkoa;Girona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lleida;Lugo;Madrid;Málaga;Murcia;Navarra;Ourense;Palencia;Palmas, Las;Pontevedra;Rioja, La;Salamanca;Santa Cruz de Tenerife;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia/València;Valladolid;Zamora;Zaragoza;Ceuta;Melilla;
        Granada;47.412946;361.730772;1562.12368;29.981265;62.834233;7.788888;58.070902;751.834028;857.817401;64.505204;26.348991;33.096479;314.944235;33.081774;38.717476;91.706344;267.493634;54.293955;22.245676;72.276682;137.81766;0.0;39.865326;131.868256;30.991866;562.522771;33.095216;58.631838;15.452376;1433.070325;1805.994378;578.575417;57.100773;10.608454;4.850422;203.442303;39.62413;39.489534;19.399574;139.895406;9.73064;429.661923;7.645194;108.524748;5.82271;79.545755;225.43729;23.160256;4.779002;101.962691;73.597849;133.819453;
        Guadalajara;21.415282;146.279132;39.429045;23.876874;43.829637;23.408668;34.043024;45.611559;166.496774;33.531556;20.272661;44.753937;36.843033;34.847245;32.929886;58.039086;21.340458;33.040537;63.056866;25.920307;23.030932;25.310852;0.0;26.192873;17.393903;26.354653;21.376124;17.163262;3.893795;4055.391978;68.419028;72.684909;28.951035;15.470934;11.698941;61.218088;21.33446;13.611734;25.287526;28.215146;12.603341;35.875477;28.847276;21.985328;22.37493;160.621197;117.723222;23.394732;12.694555;107.060895;2.936278;2.933218;
        Huelva;51.803537;90.230511;115.906296;25.248615;32.993547;2.886104;180.516442;155.332266;314.343963;32.844823;15.464742;50.208164;293.406909;24.255789;35.580463;45.195068;140.245212;22.307731;7.639398;34.63711;57.401054;150.640426;12.652545;0.0;27.845078;50.270241;12.661641;96.958318;8.655195;597.763392;319.102433;100.850054;29.964723;13.543622;3.87764;119.513952;30.176172;22.284545;19.228311;70.902544;27.65881;1723.594477;4.780914;65.775122;2.864859;48.25258;93.498118;36.632159;4.808086;66.1988;12.622631;11.635434;
        Huesca;4.817145;80.932165;50.53892;20.34987;39.907974;10.64609;11.641294;55.443014;544.154385;28.201028;26.178075;5.764256;27.169491;25.377135;65.249229;7.785314;11.60603;4.840507;15.355014;37.983175;63.123964;26.038422;10.679975;26.639325;0.0;11.617567;15.535783;430.497054;4.840056;265.226119;24.217155;49.916814;106.820295;7.79082;3.90819;26.323811;15.515043;34.982363;4.854524;29.077798;5.700904;22.377484;4.803381;129.082473;34.107342;25.778021;110.768513;7.711762;4.851438;939.328545;0.966999;0.974045;
        Jaén;85.284297;298.341824;488.316574;26.795677;31.151263;10.570057;47.577388;397.142907;485.302374;56.08663;24.304578;30.884941;216.848463;20.398511;55.515762;162.075471;419.975874;31.79223;23.278933;40.294253;127.656665;981.585516;27.268523;137.507139;24.958154;0.0;10.71298;122.344872;7.766413;1155.221813;1006.376265;317.188859;103.811619;11.700637;7.762365;108.478003;21.369689;31.158139;17.370508;60.16617;9.765012;379.148366;17.370367;122.804426;16.646769;83.380086;255.139008;31.819906;3.917885;84.787505;41.769883;37.852284;
        León;27.169646;165.190996;25.122409;46.721154;728.671067;34.09615;34.936129;143.177395;318.979975;114.976019;104.066086;21.251687;32.908613;138.325906;59.042737;7.723052;18.539787;213.216209;14.282004;49.437728;41.608884;51.607144;31.994079;16.465409;21.376417;9.742118;0.0;14.580064;121.599712;1343.782244;99.09929;69.291041;60.250908;163.268237;117.434552;105.26538;158.935934;51.466253;119.656225;112.829881;38.809118;91.370538;10.655792;43.817353;8.666274;74.583621;154.51866;307.130224;142.131696;138.048035;4.876469;8.77591;
        Lleida;10.60289;119.698732;101.463218;47.961164;41.587645;5.804859;16.523529;157.031912;2558.69429;44.222424;31.887586;8.714742;34.907453;9.679425;117.851099;8.740585;19.445427;24.267019;18.094684;49.677497;300.656291;58.905298;17.43825;82.803509;338.456144;43.420084;28.132853;0.0;17.349441;272.385132;87.779119;130.875468;89.063947;9.674153;1.910803;41.535463;44.563714;22.904409;12.675615;32.763192;6.732303;39.904123;6.653434;713.494475;29.805888;21.247437;228.262821;20.141857;5.858946;242.175736;11.542531;34.618313;
        Lugo;3.870427;54.174006;12.576531;15.528151;244.42402;5.889474;14.515484;42.713091;236.467924;51.452695;13.564696;5.869234;32.1418;34.013803;14.614517;0.974045;9.812048;1098.107707;4.780873;25.092054;16.460238;12.593927;14.563979;6.82896;4.874617;5.80726;91.287944;6.723594;0.0;392.000565;27.114361;26.912408;16.50423;252.285191;10.626813;61.290334;425.8295;20.427497;0.984703;25.250499;5.847611;25.357752;1.918892;41.673785;1.967063;11.714652;38.734377;31.134488;5.876082;26.082721;0.953015;0.971567;
        Madrid;346.92695;2979.397983;787.413474;327.151573;1232.829691;1201.911825;874.763553;2202.844307;4198.200871;805.855166;495.462765;1072.851455;1295.500323;737.341938;435.413752;1137.111422;502.511292;1075.279423;648.156146;597.131332;344.859048;856.033532;3657.642657;385.643491;214.759001;460.214742;674.961834;241.572275;310.387131;0.0;2428.415802;1495.673799;582.825459;310.816339;175.721779;1429.526123;772.693947;367.17579;653.381652;1076.358496;861.270283;1387.648158;184.915881;375.244224;79.412287;8022.966796;2435.623279;743.866027;336.979833;962.993191;155.887698;137.866738;
        Málaga;33.883394;431.145569;654.875486;55.030807;125.757217;22.160324;138.580017;581.129764;1127.885512;162.48852;50.388159;44.655204;1408.458547;60.187844;52.098041;98.351917;706.022212;80.537511;25.031713;115.374282;188.992078;1134.264779;83.371571;174.81275;27.033324;336.477687;64.324103;68.230472;30.068544;2911.502499;0.0;336.239093;153.698888;25.208787;14.55501;424.286159;78.558109;52.311478;59.872803;277.769045;23.201685;1031.760254;15.424271;105.679032;16.572958;128.890874;348.213093;76.726933;8.773001;154.967297;277.173139;228.794154;
        Murcia;446.530153;2875.752019;859.447201;125.518607;100.795049;24.224058;49.629982;452.100802;948.67399;166.73357;66.522377;61.038057;318.651747;55.153303;135.752378;109.556736;87.978577;147.73234;110.051093;152.79416;168.261514;495.521908;59.549541;82.345948;30.526759;120.427839;81.54113;118.610908;23.333023;2203.770663;300.778358;0.0;253.722115;17.452357;12.482364;226.444719;83.085387;65.186109;27.955447;124.294134;28.916877;206.432405;19.161841;173.689103;20.215831;125.359753;735.586026;55.038896;10.590637;168.186009;30.109083;70.173437;
